Entry	Mass	Length	Gene ontology IDs
P33332	154,695	1336	GO:0000131; GO:0000145; GO:0001927; GO:0005546; GO:0005886; GO:0005934; GO:0005935; GO:0006887; GO:0006893; GO:0015031; GO:0017049; GO:0043332; GO:0048309; GO:0051601; GO:0090522
P14906	75,345	663	GO:0005637; GO:0006614; GO:0006620; GO:0008565; GO:0016021; GO:0031204; GO:0031207; GO:0046967
P53953	98,944	876	GO:0000139; GO:0005048; GO:0005789; GO:0006886; GO:0008270; GO:0030127; GO:0090110
Q12507	39,021	346	GO:0000278; GO:0005634; GO:0006351; GO:0006355; GO:0007124
P40363	33,934	299	GO:0005829; GO:0018738; GO:0046294; GO:0052689
P32432	74,785	683	GO:0003677; GO:0005634; GO:0005737; GO:0006351; GO:0008361; GO:0045944; GO:0046872; GO:0060963
P43682	10,961	97	GO:0000138; GO:0000139; GO:0005484; GO:0006891; GO:0006906; GO:0015031; GO:0016021; GO:0031201
P53165	72,878	657	GO:0000124; GO:0005198; GO:0005634; GO:0005829; GO:0006325; GO:0006351; GO:0006406; GO:0006461; GO:0008047; GO:0016573; GO:0016578; GO:0045899; GO:0046695; GO:0071819
Q05567	65,566	589	GO:0006665; GO:0008117; GO:0009267; GO:0016831; GO:0019722; GO:0019752; GO:0030170; GO:0032541; GO:0097038
Q08446	44,860	395	GO:0000151; GO:0006461; GO:0007049; GO:0019933; GO:0030674; GO:0051087; GO:0051382
P40486	59,151	507	GO:0000493; GO:0005634; GO:0005654; GO:0005829; GO:0051082
Q07657	62,630	551	GO:0000082; GO:0000144; GO:0000915; GO:0000917; GO:0000921; GO:0005525; GO:0010458; GO:0016020; GO:0032186; GO:0061163; GO:0097271
P36024	62,478	562	GO:0004633; GO:0004864; GO:0005634; GO:0005737; GO:0007346; GO:0009651; GO:0015937; GO:0042802; GO:0071513; GO:1990143
P33336	86,241	771	GO:0006078; GO:0015926; GO:0016021; GO:0030148; GO:0031505
Q04658	40,872	369	GO:0005628; GO:0005737; GO:0005783; GO:0016021; GO:0030476; GO:0070583
P47037	141,336	1230	GO:0003682; GO:0005524; GO:0005634; GO:0007064; GO:0007130; GO:0007131; GO:0008280; GO:0016887; GO:0030437; GO:0034990; GO:0051177; GO:0051301; GO:1990414
Q06168	48,777	426	GO:0000086; GO:0000228; GO:0006302; GO:0006337; GO:0006357; GO:0006368; GO:0007059; GO:0016569; GO:0016586; GO:0031055; GO:0033262; GO:0043044
Q12314	24,744	213	GO:0005737; GO:0018216; GO:0035241
P36136	31,022	271	GO:0005634; GO:0005829; GO:0005975; GO:0016491; GO:0042254; GO:0046390; GO:0050278
P39000	56,578	512	GO:0005628; GO:0005737; GO:0006031; GO:0008047; GO:0030437; GO:0071555
Q04172	53,571	456	GO:0005743; GO:0007005; GO:0007007; GO:0016021
P38337	16,429	142	GO:0048188; GO:0051568
P38262	59,161	535	GO:0003714; GO:0005634; GO:0006355; GO:0006357; GO:0016575; GO:0031939; GO:0032874; GO:0034967; GO:0045835
P38343	16,042	150	GO:0006897; GO:0016021
P38241	40,925	364	GO:0000387; GO:0000398; GO:0000974; GO:0017070; GO:0036002; GO:0071006; GO:0071007
Q02775	44,637	382	GO:0000350; GO:0003676; GO:0005681; GO:0008270; GO:0071021
P32908	141,280	1225	GO:0000070; GO:0000217; GO:0003680; GO:0003690; GO:0005524; GO:0006302; GO:0007064; GO:0016887; GO:0034990; GO:0042802; GO:0051301
Q12749	128,009	1114	GO:0000724; GO:0003684; GO:0005524; GO:0005634; GO:0006281; GO:0016925; GO:0030915; GO:0035861; GO:0051304; GO:0071139; GO:1990683
Q02260	16,275	146	GO:0000243; GO:0000245; GO:0000387; GO:0000398; GO:0003729; GO:0005634; GO:0005682; GO:0005685; GO:0005686; GO:0005687; GO:0005689; GO:0005829; GO:0030532; GO:0034715; GO:0034719; GO:0046540; GO:0071004; GO:0071011; GO:0071013
Q06217	12,853	110	GO:0000387; GO:0000398; GO:0003723; GO:0005682; GO:0005685; GO:0005686; GO:0046540; GO:0071004; GO:0071011; GO:0071013
P33328	12,957	115	GO:0000149; GO:0005484; GO:0005768; GO:0005802; GO:0006887; GO:0006893; GO:0006897; GO:0006906; GO:0016021; GO:0030658; GO:0031201
P10870	96,719	884	GO:0004872; GO:0005351; GO:0005536; GO:0005886; GO:0005887; GO:0007165; GO:0010255; GO:0015755; GO:0015758; GO:0015761; GO:0035428; GO:0045835; GO:0051594
P18480	102,543	905	GO:0000228; GO:0000436; GO:0000724; GO:0001102; GO:0005634; GO:0005829; GO:0005987; GO:0006337; GO:0006338; GO:0006351; GO:0016514; GO:0016586; GO:0043044; GO:0045944; GO:2000219
P38282	33,772	291	GO:0000349; GO:0000398; GO:0003723; GO:0005634; GO:0005681; GO:0005829; GO:0046540
P53540	98,227	846	GO:0000923; GO:0000928; GO:0005200; GO:0005634; GO:0005822; GO:0005824; GO:0005874; GO:0007020; GO:0007126; GO:0030472; GO:0031122; GO:0043015; GO:0051415; GO:0090307
P42223	98,971	864	GO:0005794; GO:0015031; GO:0031505
Q6Q595	19,678	175	GO:0005789; GO:0008654; GO:0016021; GO:0060304; GO:0090158
Q04951	40,469	389	GO:0000747; GO:0005576; GO:0005975; GO:0009277; GO:0009986; GO:0015926; GO:0031505; GO:0042124; GO:0042973
Q04279	105,874	960	GO:0005886; GO:0032126; GO:0070941
Q04675	14,890	128	GO:0000213; GO:0000214; GO:0000379; GO:0005741; GO:0012505
Q00416	252,497	2231	GO:0005524; GO:0005634; GO:0005657; GO:0005737; GO:0006283; GO:0006353; GO:0006364; GO:0006369; GO:0006378; GO:0008033; GO:0008094; GO:0008186; GO:0016180; GO:0017116; GO:0019904; GO:0031124; GO:0031126; GO:0032575; GO:0033682; GO:0035649; GO:0043141; GO:0045005; GO:1990248
P36124	85,480	751	GO:0006351; GO:0006355; GO:0008270; GO:0016575; GO:0034967; GO:0035064; GO:0045835; GO:0051321
Q12369	112,979	946	GO:0000086; GO:0005825; GO:0007067; GO:0030474; GO:0051225; GO:0051301
Q06132	102,853	899	GO:0003723; GO:0005634; GO:0005730; GO:0006972; GO:0042274; GO:0097078
P53075	66,862	577	GO:0005739; GO:0030476; GO:0030529
P38272	47,417	425	GO:0003729; GO:0005789; GO:0005934; GO:0007533; GO:0008298; GO:0048309; GO:0051028
Q06236	18,632	168	GO:0005743; GO:0005749; GO:0006099; GO:0006121; GO:0016021; GO:0046872
P40073	41,126	367	GO:0001402; GO:0005034; GO:0005078; GO:0005886; GO:0005933; GO:0005935; GO:0007231; GO:0016021; GO:0030010; GO:0034605; GO:0043332; GO:0044697
P35207	146,059	1287	GO:0003677; GO:0003723; GO:0003724; GO:0005524; GO:0005737; GO:0006417; GO:0034427; GO:0051607; GO:0055087; GO:0070478; GO:0070481
Q02793	44,232	397	GO:0000228; GO:0006461; GO:0007131; GO:0034427; GO:0051607; GO:0055087; GO:0065004; GO:0070478; GO:0070481
Q03656	83,238	742	GO:0004674; GO:0005524; GO:0005737; GO:0006376; GO:0006468; GO:0006873; GO:0030003; GO:0042307; GO:0042493
P32790	135,848	1244	GO:0000147; GO:0005634; GO:0005886; GO:0005938; GO:0006897; GO:0010008; GO:0030041; GO:0030479; GO:0030674; GO:0042802; GO:0043130
Q03406	33,948	294	GO:0000727; GO:0000811; GO:0006261; GO:0006270; GO:0031261; GO:0031298; GO:0032508
P40472	48,190	476	GO:0000272; GO:0005576; GO:0007005; GO:0009277; GO:0009986; GO:0016798; GO:0031505; GO:0043226
P53135	77,298	668	GO:0000727; GO:0000775; GO:0000790; GO:0003682; GO:0006268; GO:0006270; GO:0007049; GO:0031261
Q08457	29,557	257	GO:0000775; GO:0000922; GO:0005737; GO:0006260; GO:0007049; GO:0030174; GO:0031261
P38283	79,186	698	GO:0000777; GO:0005634; GO:0005737; GO:0005828; GO:0005876; GO:0006468; GO:0007059; GO:0030295; GO:0032133; GO:0032465; GO:0051233
Q08581	95,380	821	GO:0000776; GO:0000778; GO:0005737; GO:0005816; GO:0005819; GO:0005874; GO:0007059; GO:0007067; GO:0007097; GO:0007126; GO:0030472; GO:0051233; GO:0051301; GO:0098653
P32828	71,071	619	GO:0000723; GO:0000775; GO:0005634; GO:0005730; GO:0006281; GO:0006351; GO:0006355; GO:0006974; GO:0016567; GO:0016874; GO:0016925; GO:0032183; GO:0033768; GO:0042787; GO:0051438
Q06091	20,709	175	GO:0000398; GO:0000974; GO:0071006; GO:0071011; GO:0071013
P43545	32,019	298	GO:0003922; GO:0008615; GO:0036381; GO:0042823
P50278	35,653	321	GO:0005634; GO:0005737; GO:0005975; GO:0006098; GO:0006409
P53315	28,448	255	GO:0005634; GO:0005829; GO:0005975; GO:0009051; GO:0017057
Q99314	29,018	248	GO:0000784; GO:0000790; GO:0004402; GO:0006348; GO:0006351; GO:0016407; GO:0033255
P53324	48,541	424	GO:0005783; GO:0005788; GO:0005789; GO:0005811; GO:0009636; GO:0016021; GO:0016125; GO:0034084; GO:0034210
P03882	27,683	235	GO:0004519; GO:0005739; GO:0006314; GO:0006397; GO:0008380
Q9ZZX1	72,165	630	GO:0004129; GO:0004519; GO:0005506; GO:0005739; GO:0006316; GO:0006397; GO:0008380; GO:0009060; GO:0016021; GO:0020037
P32564	20,118	187	GO:0000422; GO:0016021
P23833	33,166	295	GO:0005507; GO:0005743; GO:0006461; GO:0006825; GO:0006878; GO:0008379; GO:0008535; GO:0016021; GO:0051775
P42948	63,856	560	GO:0008270; GO:0016569
P38890	60,547	526	GO:0000790; GO:0005737; GO:0008757; GO:0034968
P38810	103,950	929	GO:0000139; GO:0005048; GO:0005789; GO:0006886; GO:0008270; GO:0030127; GO:0090110
P33303	35,340	322	GO:0003735; GO:0005469; GO:0005743; GO:0006412; GO:0015741; GO:0015744; GO:0016021
P38166	24,274	215	GO:0000138; GO:0000139; GO:0005829; GO:0015031; GO:0016021; GO:0042147
P33335	59,426	543	GO:0005887; GO:0015238; GO:0015893; GO:0042493
P38200	38,015	338	GO:0000022; GO:0005737; GO:0005819; GO:0005880; GO:0005935; GO:0008017; GO:0051301; GO:2000575
P25294	37,590	352	GO:0003677; GO:0005634; GO:0006413; GO:0006457; GO:0007049; GO:0022627; GO:0035719; GO:0051787; GO:0070843; GO:0071630
P39980	70,562	628	GO:0005768; GO:0005774; GO:0005886; GO:0006879; GO:0010008; GO:0015344; GO:0015891; GO:0016021; GO:0016023; GO:0055085
P20134	83,345	766	GO:0000978; GO:0001103; GO:0001133; GO:0005634; GO:0006351; GO:0016458; GO:0043565; GO:0045944; GO:0060257; GO:1900460; GO:1900462
P36068	28,251	246	GO:0003729; GO:0005634; GO:0005737; GO:0005934; GO:0007533; GO:0008289; GO:0008298; GO:0051028
P53266	45,056	389	GO:0005743; GO:0016021; GO:0033617; GO:0051082
P38634	32,223	284	GO:0000079; GO:0000082; GO:0004861; GO:0005634; GO:0005737; GO:0016242
P32578	91,071	815	GO:0000324; GO:0005774; GO:0006468; GO:0007165; GO:0031588; GO:0043254
P38717	142,820	1229	GO:0003712; GO:0005789; GO:0016021; GO:0032366; GO:0032541; GO:0045944
P32900	81,849	734	GO:0000131; GO:0005887; GO:0005934; GO:0005935; GO:0005938; GO:0016021
P38889	69,202	622	GO:0000156; GO:0000304; GO:0003700; GO:0005634; GO:0005829; GO:0006351; GO:0006970; GO:0008361; GO:0043565; GO:0043619
Q12034	50,943	447	GO:0003723; GO:0005844; GO:0006417; GO:0006878; GO:0010494
P42900	73,257	643	GO:0005743; GO:0009060; GO:0016021; GO:0032543; GO:0042645
P53251	24,069	210	GO:0000056; GO:0000462; GO:0005730; GO:0030686; GO:0030688
P40167	34,318	298	GO:0005730; GO:0005737; GO:0007126; GO:0030435; GO:0036396; GO:0080009; GO:2000221
P39990	13,569	126	GO:0000398; GO:0000451; GO:0000462; GO:0000470; GO:0003723; GO:0005654; GO:0005730; GO:0030621; GO:0031167; GO:0031428; GO:0032040; GO:0034511; GO:0046540; GO:0071011
Q04748	104,748	898	GO:0005739
P39550	13,288	113	
P14680	91,245	807	GO:0004672; GO:0004674; GO:0004712; GO:0004713; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0010811; GO:0045893
Q03935	43,597	383	GO:0000122; GO:0000981; GO:0001010; GO:0005634; GO:0006351; GO:0043565; GO:0045944
P0C269	4,642	39	
P0C5L0	5,740	52	
Q8TGU6	7,379	64	
Q12260	49,898	438	GO:0000943; GO:0003723; GO:0005737; GO:0032197
P38201	42,604	376	
P31244	91,430	790	GO:0000113; GO:0000715; GO:0003677; GO:0004386; GO:0005524; GO:0008270; GO:0031463; GO:0034613; GO:0042787
P06779	63,777	565	GO:0000113; GO:0000715; GO:0031463; GO:0034613; GO:0042787
Q04779	78,836	684	GO:0000118; GO:0000977; GO:0003682; GO:0003712; GO:0006368; GO:0008270; GO:0016575; GO:0030174; GO:0032221; GO:0042393; GO:0045944; GO:0060195; GO:0061587
P39531	97,471	840	GO:0000149; GO:0005768; GO:0005794; GO:0005829; GO:0005935; GO:0006887; GO:0006897; GO:0015031; GO:0030427; GO:0032456; GO:0034498; GO:0048278; GO:0051286
P38086	107,946	958	GO:0003690; GO:0003916; GO:0004386; GO:0005524; GO:0005634; GO:0006281; GO:0006310; GO:0007131; GO:0008094; GO:0015616; GO:0030491; GO:0032392; GO:0032508; GO:0045144
Q9ZZX8	6,271	53	GO:0005739
Q9ZZW1	16,269	134	GO:0005739
P37299	8,593	77	GO:0005750; GO:0006122; GO:0009060; GO:1902600
P00128	14,565	127	GO:0005750; GO:0006122; GO:0009060; GO:0034551; GO:1902600
P06838	24,311	210	GO:0000110; GO:0000710; GO:0000733; GO:0000735; GO:0000736; GO:0003684; GO:0003697; GO:0004519; GO:0005634; GO:0006277; GO:0006296; GO:0006312; GO:0070522; GO:0070914
P38953	46,350	406	GO:0000150; GO:0000400; GO:0000707; GO:0000730; GO:0003690; GO:0003697; GO:0005524; GO:0005634; GO:0005657; GO:0006312; GO:0007131; GO:0008094; GO:0010212; GO:0030491; GO:0033062; GO:0033063; GO:0042148; GO:0046982
Q04418	50,192	439	GO:0005634; GO:0005737; GO:0006355; GO:0006366
P53721	25,344	224	GO:0031305; GO:0033617; GO:0097249
P25611	95,690	832	GO:0000978; GO:0000982; GO:0005634; GO:0006351; GO:0008270; GO:0009410; GO:0045944
A0A0B7P221	3,468	28	
Q08096	40,171	367	GO:0000447; GO:0000472; GO:0000480; GO:0003723; GO:0004521; GO:0005654; GO:0005730; GO:0006364; GO:0008047; GO:0030686; GO:0031167
P38206	66,211	574	GO:0005789; GO:0006488; GO:0008643; GO:0016021; GO:0034202; GO:0034203
P38339	74,619	666	GO:0005096; GO:0005546; GO:0005933; GO:0007231; GO:0010314; GO:0010447; GO:0030479; GO:0032266; GO:0070273; GO:0080025
Q06624	39,273	347	GO:0005634; GO:0005829; GO:0006974; GO:0007346; GO:0008641; GO:0016925; GO:0031510
P06780	23,152	209	GO:0000131; GO:0000148; GO:0003924; GO:0005525; GO:0005777; GO:0005778; GO:0005794; GO:0005934; GO:0005935; GO:0007117; GO:0007264; GO:0008361; GO:0010008; GO:0030036; GO:0031532; GO:0032186; GO:0032880; GO:0032889; GO:0043332; GO:0045807; GO:0060178; GO:0060237; GO:0090037; GO:0090334; GO:1903395
P33312	27,116	244	GO:0008703; GO:0009231; GO:0009451; GO:0050661
Q06891	21,290	181	GO:0005634; GO:0006276; GO:0030541
P01119	34,347	309	GO:0001302; GO:0003924; GO:0005525; GO:0005622; GO:0005886; GO:0007189; GO:0007264; GO:0045762; GO:0097271
Q12270	29,500	262	GO:0000139; GO:0004252; GO:0016021; GO:0034399
Q08273	13,940	121	GO:0000082; GO:0005634; GO:0005737; GO:0006281; GO:0008270; GO:0019005; GO:0019788; GO:0030674; GO:0031146; GO:0031462; GO:0031463; GO:0031467; GO:0035361; GO:0042787; GO:0043224; GO:0045116; GO:0051301; GO:0061630; GO:0080008; GO:0097602
Q08742	16,697	149	GO:0004792; GO:0005739
P33323	20,744	182	GO:0000794; GO:0006351; GO:0006355; GO:0007131; GO:0042138
P21538	91,874	810	GO:0005654; GO:0006357; GO:0006363; GO:0006369; GO:0043565
P38234	22,921	210	GO:0003955; GO:0005737; GO:0005886; GO:0010181; GO:0045121; GO:0055114
P53295	41,006	368	GO:0002181; GO:0005525; GO:0005737; GO:1903833
P21827	53,014	482	GO:0000054; GO:0000790; GO:0004871; GO:0005087; GO:0005634; GO:0006407; GO:0007067; GO:0019236; GO:0051301
Q03713	18,477	159	GO:0005739; GO:0031305; GO:0033617; GO:0097249; GO:0097250
Q12305	15,413	139	GO:0004792; GO:0005739
P38630	94,903	861	GO:0000278; GO:0003689; GO:0005524; GO:0005634; GO:0005663; GO:0006272; GO:0006281; GO:0006298; GO:0051301
P03872	33,196	296	GO:0005634; GO:0030543; GO:0042802; GO:0050821
P12689	112,227	985	GO:0003684; GO:0003887; GO:0005634; GO:0005657; GO:0005739; GO:0017125; GO:0042276; GO:0046872; GO:0070987
Q08237	32,895	289	GO:0000027; GO:0003676; GO:0005634; GO:0006364; GO:0008408
P39083	112,832	1007	GO:0000750; GO:0001403; GO:0005096; GO:0007015; GO:0007118; GO:0007119; GO:0007124; GO:0008270; GO:0030010; GO:0031106; GO:0032177
Q00453	23,855	211	GO:0000790; GO:0000981; GO:0003677; GO:0005634; GO:0005829; GO:0006351; GO:0045944; GO:0046872
Q99188	35,100	309	GO:0005096; GO:0005634; GO:0005737; GO:0005886; GO:0007188
P53879	36,818	331	GO:0000329; GO:0003924; GO:0005525; GO:0005886; GO:0007266; GO:0012505
P10862	55,230	487	GO:0000790; GO:0003684; GO:0003697; GO:0005634; GO:0006513; GO:0008270; GO:0009411; GO:0016874; GO:0042275; GO:0042276; GO:0061630; GO:0070987; GO:0097505
Q00578	95,341	843	GO:0000019; GO:0000112; GO:0001111; GO:0001113; GO:0003677; GO:0004003; GO:0005524; GO:0005634; GO:0005675; GO:0005829; GO:0006366; GO:0006367; GO:0010525; GO:0015616; GO:0016973; GO:0032508; GO:0033683; GO:0070816; GO:0097550
Q04231	20,270	177	GO:0005634; GO:0006289
P11938	92,413	827	GO:0000122; GO:0000228; GO:0000723; GO:0000784; GO:0000982; GO:0000987; GO:0001076; GO:0001094; GO:0001132; GO:0005634; GO:0005829; GO:0006348; GO:0006351; GO:0008301; GO:0010833; GO:0030466; GO:0031492; GO:0031848; GO:0031936; GO:0035390; GO:0042162; GO:0045944; GO:0051880; GO:0070187; GO:0070200; GO:0071169; GO:0071919; GO:0072363
Q12465	133,959	1220	GO:0000282; GO:0005621; GO:0005934; GO:0005935; GO:0016020; GO:0016021; GO:0030036; GO:0061161; GO:1902929
P19541	50,082	446	GO:0000978; GO:0001077; GO:0005634; GO:0005737; GO:0008270; GO:0015976; GO:0035948; GO:0045944; GO:0061414; GO:0061415; GO:0071466; GO:0071555
P42073	59,819	533	GO:0003682; GO:0003723; GO:0005634; GO:0005829; GO:0005847; GO:0030846; GO:0031124; GO:0031126; GO:1900364
Q05672	51,957	457	GO:0003723; GO:0005634; GO:0005737; GO:0006012; GO:1990115
Q03530	35,911	315	GO:0004197; GO:0004222; GO:0019236; GO:0030176; GO:0071432; GO:0071586
P03871	43,231	373	GO:0005634; GO:0030543; GO:0034613; GO:0042802
P25332	36,924	333	GO:0004747; GO:0005524; GO:0005634; GO:0005737; GO:0006014; GO:0019303; GO:0046872
P38623	68,062	610	GO:0004674; GO:0005524; GO:0005737; GO:0006468; GO:0007231; GO:0034599; GO:0040020
Q08904	61,287	546	GO:0000981; GO:0003677; GO:0003700; GO:0005634; GO:0006351; GO:0008270; GO:0009410
Q06835	12,260	107	GO:0000245; GO:0000398; GO:0005686; GO:0009410; GO:0071011; GO:0071013
P32841	48,706	428	GO:0000794; GO:0007131; GO:0042138
Q12188	77,202	680	GO:0000780; GO:0000794; GO:0003682; GO:0006302; GO:0007064; GO:0007130; GO:0007131; GO:0034991; GO:0051177; GO:0051754; GO:0071459
P14291	95,538	827	GO:0000800; GO:0005198; GO:0007130; GO:0007131; GO:0030435; GO:0031490; GO:0043085; GO:0051598
P40893	21,967	198	GO:0005737
Q00816	112,616	1014	GO:0000122; GO:0000164; GO:0005634; GO:0005737; GO:0005773; GO:0005977; GO:0006109; GO:0006986; GO:0007039; GO:0008599; GO:0042149; GO:0061587
P38344	45,862	393	GO:0000278; GO:0003676; GO:0005737; GO:0006913; GO:0007117; GO:0008270; GO:0030687; GO:0042273
P53972	56,177	490	GO:0003723; GO:0005634; GO:0005730; GO:0009383; GO:0070475
P36054	24,135	211	GO:0005737; GO:0008597; GO:0019722; GO:0030346; GO:0070884
P38212	23,887	213	GO:0006033; GO:0016192; GO:0030176; GO:0071555
P25560	22,270	188	GO:0000139; GO:0000324; GO:0005783; GO:0006621; GO:0006888; GO:0006890; GO:0016021; GO:0030134; GO:0030137
P40348	39,742	353	GO:0000076; GO:0003677; GO:0005524; GO:0005634; GO:0005663; GO:0006272; GO:0006298; GO:0007062; GO:0017076; GO:0031389; GO:0031390; GO:0031391
P38629	38,204	340	GO:0003677; GO:0005524; GO:0005634; GO:0005663; GO:0005829; GO:0006272; GO:0006298; GO:0007062; GO:0016887; GO:0031389; GO:0031390; GO:0031391
P38251	39,942	354	GO:0003677; GO:0005524; GO:0005634; GO:0005663; GO:0006272; GO:0007062; GO:0031389; GO:0031390; GO:0031391
P25378	23,338	209	GO:0003924; GO:0005525; GO:0005829; GO:0007264; GO:0015809; GO:0015819; GO:0019897; GO:0042147
Q06709	49,690	432	GO:0005737; GO:0042273; GO:0046872
P53331	62,849	553	GO:0000175; GO:0000467; GO:0002107; GO:0003723; GO:0005634; GO:0008408; GO:0034415; GO:0034476
P32862	128,240	1170	GO:0000122; GO:0000978; GO:0001077; GO:0001078; GO:0001191; GO:0003677; GO:0005634; GO:0005737; GO:0006006; GO:0008270; GO:0015758; GO:0045944; GO:0046324; GO:0061414
Q12362	67,036	591	GO:0003723; GO:0005737; GO:0005739; GO:0008270; GO:0008835; GO:0009231; GO:0009982; GO:0031119; GO:0043723
Q99258	22,568	208	GO:0005758; GO:0005829; GO:0008686; GO:0009060; GO:0009231; GO:0046872
Q03792	83,124	727	GO:0004197; GO:0004198; GO:0005622; GO:0016485
P43565	196,531	1770	GO:0000160; GO:0001324; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0006995; GO:0009267; GO:0010508; GO:0018105; GO:0034605; GO:0035556; GO:0040020; GO:0051321
Q07844	93,069	837	GO:0000055; GO:0005524; GO:0005634; GO:0005730; GO:0016887; GO:0030687; GO:0042273
Q12504	57,289	494	GO:0005634; GO:0016279; GO:0018026
Q3E757	19,750	174	GO:0000027; GO:0002181; GO:0003735; GO:0005634; GO:0006412; GO:0019843; GO:0022625
Q12090	45,880	404	GO:0000175; GO:0000467; GO:0003676; GO:0005634; GO:0005737; GO:0008408; GO:0034476; GO:0043628
P30775	46,770	413	GO:0003747; GO:0005739; GO:0006415; GO:0016149; GO:0032543; GO:0043022; GO:0070126
Q06108	120,395	1083	GO:0005737; GO:0007049; GO:0016247; GO:0090372
Q00245	25,312	231	GO:0003924; GO:0005525; GO:0005829; GO:0005886; GO:0005933; GO:0007264; GO:0030950; GO:0045921; GO:0090338
Q00246	32,186	291	GO:0000131; GO:0003924; GO:0005525; GO:0005886; GO:0005935; GO:0007264; GO:0030011; GO:0090337; GO:0090338
P53893	124,464	1110	GO:0003924; GO:0005525; GO:0005737; GO:0042256
P38615	43,005	370	GO:0004674; GO:0005524; GO:0006468; GO:0006508; GO:0030437; GO:0034605; GO:0071472
P38127	42,102	377	GO:0000002; GO:0003735; GO:0005215; GO:0005739; GO:0005743; GO:0006412; GO:0006864; GO:0015218; GO:0016021; GO:0051881; GO:0055085; GO:0070838
Q03942	55,950	479	GO:0005730; GO:0016279; GO:0018023; GO:0018026; GO:0042254
P05748	24,422	204	GO:0002181; GO:0003723; GO:0003735; GO:0022625
P0CX44	24,486	217	GO:0000470; GO:0002181; GO:0003723; GO:0003735; GO:0006412; GO:0022625
P35196	32,694	286	GO:0002094; GO:0004659; GO:0005783; GO:0005789; GO:0005811; GO:0006486; GO:0006888; GO:0019408; GO:0045547; GO:1904423
P38927	28,760	245	GO:0005739; GO:0016035; GO:0042276; GO:0070987
Q12192	35,195	310	GO:0000118; GO:0005634; GO:0007070; GO:0030674; GO:0032298
Q08003	22,850	200	GO:0004857; GO:0004869; GO:0005768; GO:0010993
P48743	90,584	811	GO:0000122; GO:0000978; GO:0003700; GO:0045944
Q06407	113,291	1009	GO:0005096; GO:0007264; GO:0008270; GO:0031106; GO:0032177; GO:0043087
P43556	82,209	714	GO:0005096; GO:0005622; GO:0007264
P40043	18,989	161	GO:0005886; GO:0006112; GO:0071944
P40188	19,229	164	GO:0005737; GO:0006112
P38222	62,594	552	GO:0005634; GO:0005829; GO:0016279; GO:0018026
P0C0W9	19,720	174	GO:0000027; GO:0002181; GO:0003735; GO:0005634; GO:0006412; GO:0019843; GO:0022625
P38622	57,981	512	GO:0004674; GO:0005524; GO:0006468; GO:0040020
Q12044	29,256	265	GO:0005737
Q03446	24,211	210	GO:0000324; GO:0016021; GO:0016192; GO:0031982
P21651	35,683	314	GO:0000794; GO:0007131
P38741	80,109	713	GO:0000166; GO:0003723; GO:0005634; GO:0006279; GO:0007126; GO:0007131; GO:0030435
P40160	49,125	425	GO:0000462; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0010494; GO:0046830; GO:0046872
P38232	38,747	338	GO:0000122; GO:0000164; GO:0008599
P22336	70,348	621	GO:0000722; GO:0000724; GO:0000781; GO:0000794; GO:0003690; GO:0003697; GO:0005634; GO:0005662; GO:0005737; GO:0005829; GO:0006260; GO:0006265; GO:0006268; GO:0006281; GO:0006289; GO:0006312; GO:0007004; GO:0007131; GO:0010833; GO:0016567; GO:0030491; GO:0043565; GO:0043934; GO:0045184; GO:0046872
P26755	13,816	122	GO:0000722; GO:0000724; GO:0000781; GO:0000794; GO:0003690; GO:0005662; GO:0006260; GO:0006265; GO:0006268; GO:0006281; GO:0006289; GO:0006312; GO:0007004; GO:0007131; GO:0010833; GO:0016567; GO:0030491; GO:0043565; GO:0045184
Q12300	83,159	763	GO:0005351; GO:0005355; GO:0005886; GO:0005887; GO:0010255; GO:0035428; GO:0051594
P32445	15,386	135	GO:0000002; GO:0003697; GO:0005739; GO:0006264; GO:0042645; GO:0090297
P23796	58,882	513	GO:0016763; GO:0019988; GO:0043399
P38883	86,739	763	GO:0000027; GO:0000054; GO:0003682; GO:0005634; GO:0005654; GO:0005829; GO:0006267; GO:0006364; GO:0030174; GO:0097344
P26754	29,936	273	GO:0000722; GO:0000724; GO:0000781; GO:0000794; GO:0003690; GO:0003697; GO:0005662; GO:0006260; GO:0006265; GO:0006268; GO:0006281; GO:0006289; GO:0006312; GO:0007004; GO:0007131; GO:0010833; GO:0016567; GO:0030491; GO:0043565; GO:0045184
P40339	36,149	323	GO:0003677; GO:0005524; GO:0005634; GO:0005663; GO:0005829; GO:0006272; GO:0006298; GO:0007062; GO:0031389; GO:0031390; GO:0031391
P16664	75,317	663	GO:0000139; GO:0005794; GO:0005829; GO:0007067; GO:0017112; GO:0017137; GO:0032045; GO:0034066; GO:0042147; GO:0051301
Q06208	45,643	395	GO:0000784; GO:0007004; GO:0016233; GO:0042162; GO:0070187
Q03778	24,537	218	GO:0005524; GO:0005743; GO:0005783; GO:0008531; GO:0009231; GO:0009398; GO:0043231; GO:0046872
P41805	25,361	221	GO:0000027; GO:0002181; GO:0003735; GO:0006415; GO:0022625
P40212	22,525	199	GO:0002181; GO:0003723; GO:0003735; GO:0006412; GO:0016236; GO:0022625
